	Study	Sample	Ecosystem	Habitat	Location	Date	Cryosphere	Latitude	Longitude
113	PRJEB26163	ERR2528602	Marine	Water	Arctic	01.07.14	Yes	78.827	-8.564
114	PRJEB26163	ERR2528603	Marine	Water	Arctic	01.07.14	Yes	78.827	-8.564
115	PRJEB26163	ERR2528604	Marine	Water	Arctic	01.07.14	Yes	78.827	-8.564
116	PRJEB26163	ERR2528605	Marine	Water	Arctic	01.07.14	Yes	78.827	-8.564
117	PRJEB26163	ERR2528606	Marine	Water	Arctic	01.07.14	Yes	78.836	1.005
118	PRJEB26163	ERR2528607	Marine	Water	Arctic	01.07.14	Yes	78.836	1.005
119	PRJEB26163	ERR2528608	Marine	Water	Arctic	01.07.14	Yes	78.833	-5.498
120	PRJEB26163	ERR2528609	Marine	Water	Arctic	01.07.14	Yes	78.833	-5.498
121	PRJEB26163	ERR2528610	Marine	Water	Arctic	01.07.14	Yes	78.831	-0.896
122	PRJEB26163	ERR2528611	Marine	Water	Arctic	01.07.14	Yes	78.831	-0.896
123	PRJEB26163	ERR2528612	Marine	Water	Arctic	01.07.14	Yes	78.831	-0.896
124	PRJEB26163	ERR2528613	Marine	Water	Arctic	01.07.14	Yes	78.831	-0.896
125	PRJEB26163	ERR2528614	Marine	Water	Arctic	01.07.14	Yes	78.831	-0.896
126	PRJEB26163	ERR2528615	Marine	Water	Arctic	01.07.14	Yes	78.836	1.005
127	PRJEB26163	ERR2528616	Marine	Water	Arctic	01.07.14	Yes	78.831	-0.896
128	PRJEB26163	ERR2528617	Marine	Water	Arctic	01.07.14	Yes	79.755	4.26
129	PRJEB26163	ERR2528618	Marine	Water	Arctic	01.07.14	Yes	79.755	4.26
130	PRJEB26163	ERR2528619	Marine	Water	Arctic	01.07.14	Yes	79.755	4.26
131	PRJEB26163	ERR2528620	Marine	Water	Arctic	01.07.14	Yes	79.755	4.26
132	PRJEB26163	ERR2528621	Marine	Water	Arctic	01.07.14	Yes	79.755	4.26
133	PRJEB26163	ERR2528622	Marine	Water	Arctic	01.07.14	Yes	79.755	4.26
134	PRJEB26163	ERR2528623	Marine	Water	Arctic	01.07.14	Yes	79.134	6.077
135	PRJEB26163	ERR2528624	Marine	Water	Arctic	01.07.14	Yes	78.836	1.005
136	PRJEB29215	ERR2847098	Ice/Snow	Snow	Antarctica	01.12.12	Yes	-78.9761	-90.51778
137	PRJEB29215	ERR2847099	Ice/Snow	Snow	Antarctica	01.12.12	Yes	-78.9761	-90.51778
138	PRJEB29215	ERR2847100	Ice/Snow	Snow	Antarctica	01.12.12	Yes	-78.803411	-84.8034
139	PRJEB29215	ERR2847102	Ice/Snow	Snow	Antarctica	01.12.12	Yes	-78.803411	-84.8034
140	PRJEB29215	ERR2847103	Ice/Snow	Snow	Antarctica	01.12.12	Yes	-78.803411	-84.8034
141	PRJEB29215	ERR2847104	Ice/Snow	Snow	Antarctica	01.12.12	Yes	-78.803411	-84.8034
142	PRJEB29215	ERR2847105	Ice/Snow	Snow	Antarctica	01.12.12	Yes	-78.803411	-84.8034
143	PRJEB29215	ERR2847106	Ice/Snow	Snow	Antarctica	01.12.12	Yes	-78.803411	-84.8034
144	PRJEB29215	ERR2847108	Ice/Snow	Snow	Antarctica	01.12.12	Yes	-78.803411	-84.8034
145	PRJEB29215	ERR2847109	Ice/Snow	Snow	Antarctica	01.12.12	Yes	-78.803411	-84.8034
146	PRJEB29215	ERR2847110	Ice/Snow	Snow	Antarctica	01.12.12	Yes	-78.9761	-90.51778
147	PRJEB29215	ERR2847111	Ice/Snow	Snow	Antarctica	01.12.12	Yes	-78.9761	-90.51778
148	PRJEB29215	ERR2847112	Ice/Snow	Snow	Antarctica	01.12.12	Yes	-78.9761	-90.51778
149	PRJEB29215	ERR2847114	Ice/Snow	Snow	Antarctica	01.12.12	Yes	-74.8564	-71.5869
150	PRJEB29215	ERR2847115	Ice/Snow	Snow	Antarctica	2012-12	Yes	-74.8564	-71.5869
151	PRJEB29215	ERR2847118	Ice/Snow	Snow	Antarctica	2014-01	Yes	-60.7066	-45.5925
152	PRJEB29215	ERR2847119	Ice/Snow	Snow	Antarctica	2014-01	Yes	-60.7066	-45.5925
153	PRJEB29215	ERR2847120	Ice/Snow	Snow	Antarctica	2014-01	Yes	-60.7066	-45.5925
154	PRJEB29215	ERR2847121	Ice/Snow	Snow	Antarctica	2014-01	Yes	-60.7066	-45.5925
155	PRJEB29215	ERR2847122	Ice/Snow	Snow	Antarctica	2014-01	Yes	-60.7066	-45.5925
156	PRJEB29215	ERR2847123	Ice/Snow	Snow	Antarctica	2014-01	Yes	-60.7066	-45.5925
157	PRJEB29215	ERR2847124	Ice/Snow	Snow	Antarctica	2014-01	Yes	-60.7066	-45.5925
158	PRJEB29215	ERR2847125	Ice/Snow	Snow	Antarctica	2014-01	Yes	-60.7066	-45.5925
159	PRJEB29215	ERR2847126	Ice/Snow	Snow	Antarctica	2014-01	Yes	-60.7066	-45.5925
160	PRJEB29215	ERR2847127	Ice/Snow	Snow	Antarctica	2014-01	Yes	-60.7066	-45.5925
161	PRJEB29215	ERR2847128	Ice/Snow	Snow	Antarctica	2014-01	Yes	-60.7066	-45.5925
162	PRJEB29215	ERR2847129	Ice/Snow	Snow	Antarctica	2014-01	Yes	-60.7066	-45.5925
163	PRJEB29215	ERR2847130	Ice/Snow	Snow	Antarctica	2014-01	Yes	-60.7066	-45.5925
164	PRJEB29215	ERR2847131	Ice/Snow	Snow	Antarctica	2014-01	Yes	-60.7066	-45.5925
165	PRJEB29215	ERR2847132	Ice/Snow	Snow	Antarctica	2014-01	Yes	-60.7066	-45.5925
166	PRJEB29215	ERR2847133	Ice/Snow	Snow	Antarctica	2014-01	Yes	-60.7066	-45.5925
167	PRJEB29215	ERR2847134	Ice/Snow	Snow	Antarctica	2014-01	Yes	-60.7066	-45.5925
168	PRJEB31938	ERR3256332	Marine	Ice/Snow	Greenland	06.07.16	Yes	79.13	2.84
169	PRJEB31938	ERR3256334	Marine	Sediment	Greenland	06.07.16	Yes	79.13	4.9
170	PRJEB31938	ERR3256336	Marine	Sediment	Greenland	03.07.16	Yes	79.92	3.06
171	PRJEB31938	ERR3256338	Marine	Ice/Snow	Greenland	03.07.16	Yes	79.92	3.06
172	PRJEB31938	ERR3256340	Marine	Sediment	Greenland	03.07.16	Yes	79.74	4.43
173	PRJEB31938	ERR3256342	Marine	Water	Greenland	02.07.16	Yes	78.99	-5.42
174	PRJEB31938	ERR3256344	Marine	Water	Greenland	02.07.16	Yes	78.99	-5.42
175	PRJEB31938	ERR3256346	Marine	Water	Greenland	02.07.16	Yes	78.99	-5.418
176	PRJEB31938	ERR3256347	Marine	Water	Arctic Ocean	01.10.16	Yes	86.86	61.58
177	PRJEB31938	ERR3256349	Marine	Water	Arctic Ocean	01.10.16	Yes	86.86	61.58
178	PRJEB31938	ERR3256351	Marine	Water	Arctic Ocean	27.09.16	Yes	86.79	61.83
179	PRJEB31938	ERR3256353	Marine	Water	Arctic Ocean	27.09.16	Yes	86.79	61.83
180	PRJEB31938	ERR3256355	Marine	Water	Arctic Ocean	27.09.16	Yes	86.79	61.83
181	PRJEB31938	ERR3256357	Marine	Water	Arctic Ocean	23.09.16	Yes	89.74	61.87
182	PRJEB31938	ERR3256359	Marine	Water	Arctic Ocean	23.09.16	Yes	89.74	61.87
183	PRJEB31938	ERR3256361	Marine	Water	Arctic Ocean	23.09.16	Yes	89.74	61.87
184	PRJEB31938	ERR3256363	Marine	Ice/Snow	Greenland	02.07.16	Yes	78.99	-5.42
185	PRJEB31938	ERR3256365	Marine	Sediment	Greenland	30.06.16	Yes	78.82	-2.73
186	PRJEB31938	ERR3256367	Marine	Ice/Snow	Greenland	30.06.16	Yes	78.82	-2.73
187	PRJEB31938	ERR3256373	Marine	Sediment	Greenland	27.06.16	Yes	79.06	4.19
188	PRJEB31938	ERR3256375	Marine	Sediment	Greenland	25.06.16	Yes	78.61	5.05
189	PRJEB31938	ERR3256377	Marine	Water	Arctic Ocean	19.09.16	Yes	86.82	61.81
190	PRJEB31938	ERR3256379	Marine	Water	Arctic Ocean	19.09.16	Yes	86.82	61.81
191	PRJEB31938	ERR3256381	Marine	Water	Arctic Ocean	02.10.16	Yes	87.1	61.61
192	PRJEB31938	ERR3256383	Marine	Water	Arctic Ocean	02.10.16	Yes	87.1	61.61
193	PRJEB31938	ERR3256385	Marine	Water	Arctic Ocean	01.10.16	Yes	86.86	61.58
194	PRJEB40467	ERR4614942	Terrestrial	Permafrost	Italy	25.07.17	Yes	46.517	10.417
195	PRJEB40467	ERR4614943	Terrestrial	Permafrost	Italy	25.07.17	Yes	46.517	10.417
196	PRJEB40467	ERR4614944	Terrestrial	Permafrost	Italy	25.07.17	Yes	46.517	10.417
197	PRJEB40467	ERR4614945	Terrestrial	Permafrost	Italy	25.07.17	Yes	46.517	10.417
198	PRJEB40467	ERR4614946	Terrestrial	Permafrost	Italy	25.07.17	Yes	46.517	10.417
199	PRJEB40467	ERR4614947	Terrestrial	Permafrost	Italy	25.07.17	Yes	46.517	10.417
200	PRJEB40467	ERR4614948	Terrestrial	Permafrost	Italy	25.07.17	Yes	46.517	10.417
201	PRJEB40467	ERR4614949	Terrestrial	Permafrost	Italy	25.07.17	Yes	46.517	10.417
202	PRJEB40467	ERR4614950	Terrestrial	Permafrost	Italy	25.07.17	Yes	46.517	10.417
203	PRJEB40467	ERR4614951	Terrestrial	Permafrost	Italy	25.07.17	Yes	46.517	10.417
204	PRJEB40467	ERR4614952	Terrestrial	Permafrost	Italy	25.07.17	Yes	46.517	10.417
205	PRJEB40467	ERR4614953	Terrestrial	Permafrost	Italy	25.07.17	Yes	46.517	10.417
206	PRJEB40467	ERR4614954	Terrestrial	Permafrost	Italy	25.07.17	Yes	46.517	10.417
207	PRJEB40467	ERR4614955	Terrestrial	Permafrost	Italy	25.07.17	Yes	46.517	10.417
208	PRJEB40467	ERR4614956	Terrestrial	Permafrost	Italy	25.07.17	Yes	46.517	10.417
209	PRJEB40467	ERR4614957	Terrestrial	Permafrost	Italy	25.07.17	Yes	46.517	10.417
210	PRJEB40467	ERR4614958	Terrestrial	Permafrost	Italy	25.07.17	Yes	46.517	10.417
211	PRJEB40467	ERR4614959	Terrestrial	Permafrost	Italy	25.07.17	Yes	46.517	10.417
212	PRJNA296475	SRR2558703	Ice/Snow	Cryoconite	Svalbard	13.08.13	Yes	78.63	17.13
213	PRJNA296475	SRR2558704	Ice/Snow	Cryoconite	Svalbard	14.08.13	Yes	78.63	17.13
214	PRJNA296475	SRR2558705	Ice/Snow	Cryoconite	Svalbard	02.08.13	Yes	78.76	16.46
215	PRJNA320505	SRR3476896	Ice/Snow	Cryoconite	Antarctica	2011-12/2012-01	Yes	-62.16	-58.47
216	PRJNA380676	SRR5383918	Terrestrial	Rock	Svalbard	01.08.14	Yes	78.923997	11.909421
217	PRJNA418054	SRR6282424	Terrestrial	Permafrost	Alaska	04.05.13	Yes	69.7	-148.7
218	PRJNA418054	SRR6282435	Terrestrial	Permafrost	Alaska	29.04.13	Yes	65.8	-149.6
219	PRJNA418054	SRR6282437	Terrestrial	Permafrost	Alaska	06.05.13	Yes	66.1	-151.2
220	PRJNA418054	SRR6282444	Terrestrial	Permafrost	Alaska	06.05.13	Yes	66.1	-151.2
221	PRJNA418054	SRR6282445	Terrestrial	Permafrost	Alaska	09.05.14	Yes	65.1	-147.5
222	PRJNA418054	SRR6282446	Terrestrial	Permafrost	Alaska	09.05.14	Yes	65.1	-147.5
223	PRJNA418054	SRR6282461	Terrestrial	Permafrost	Alaska	09.05.14	Yes	65.1	-147.5
224	PRJNA418054	SRR6282465	Terrestrial	Permafrost	Alaska	04.05.13	Yes	69.7	-148.7
225	PRJNA418054	SRR6282466	Terrestrial	Permafrost	Alaska	04.05.13	Yes	69.7	-148.7
226	PRJNA418054	SRR6282467	Terrestrial	Permafrost	Alaska	04.05.13	Yes	69.7	-148.7
227	PRJNA418054	SRR6282468	Terrestrial	Permafrost	Alaska	04.05.13	Yes	69.7	-148.7
228	PRJNA418054	SRR6282469	Terrestrial	Permafrost	Alaska	04.05.13	Yes	69.7	-148.7
229	PRJNA418054	SRR6282471	Terrestrial	Permafrost	Alaska	09.05.14	Yes	65.1	-147.5
230	PRJNA418054	SRR6282472	Terrestrial	Permafrost	Alaska	04.05.13	Yes	69.7	-148.7
231	PRJNA418054	SRR6282473	Terrestrial	Permafrost	Alaska	04.05.13	Yes	69.7	-148.7
232	PRJNA418054	SRR6282476	Terrestrial	Permafrost	Alaska	04.05.13	Yes	69.7	-148.7
233	PRJNA418054	SRR6282477	Terrestrial	Permafrost	Alaska	04.05.13	Yes	69.7	-148.7
234	PRJNA418054	SRR6282478	Terrestrial	Permafrost	Alaska	29.04.13	Yes	65.8	-149.6
235	PRJNA418054	SRR6282479	Terrestrial	Permafrost	Alaska	04.05.13	Yes	69.7	-148.7
236	PRJNA418054	SRR6282480	Terrestrial	Permafrost	Alaska	29.04.13	Yes	65.8	-149.6
237	PRJNA418054	SRR6282481	Terrestrial	Permafrost	Alaska	29.04.13	Yes	65.8	-149.6
238	PRJNA418054	SRR6282482	Terrestrial	Permafrost	Alaska	29.04.13	Yes	65.8	-149.6
239	PRJNA418054	SRR6282483	Terrestrial	Permafrost	Alaska	29.04.13	Yes	65.8	-149.6
240	PRJNA418054	SRR6282485	Terrestrial	Permafrost	Alaska	29.04.13	Yes	65.8	-149.6
241	PRJNA418054	SRR6282486	Terrestrial	Permafrost	Alaska	09.05.14	Yes	65.1	-147.5
242	PRJNA418054	SRR6282487	Terrestrial	Permafrost	Alaska	09.05.14	Yes	65.1	-147.5
243	PRJNA418054	SRR6282488	Terrestrial	Permafrost	Alaska	09.05.14	Yes	65.1	-147.5
244	PRJNA418054	SRR6282489	Terrestrial	Permafrost	Alaska	09.05.14	Yes	65.1	-147.5
245	PRJNA418054	SRR6282490	Terrestrial	Permafrost	Alaska	09.05.14	Yes	65.1	-147.5
246	PRJNA418054	SRR6282491	Terrestrial	Permafrost	Alaska	09.05.14	Yes	65.1	-147.5
247	PRJNA418054	SRR6282496	Terrestrial	Permafrost	Alaska	09.05.14	Yes	65.1	-147.5
248	PRJNA418054	SRR6282501	Terrestrial	Permafrost	Alaska	09.05.14	Yes	65.1	-147.5
249	PRJNA430179	SRR15146733	Ice/Snow	Glacier	Spain	01.09.17	Yes	42.6805556	0.0375
250	PRJNA430179	SRR15146734	Ice/Snow	Glacier	Spain	01.09.17	Yes	42.6805556	0.0375
251	PRJNA430179	SRR15146735	Ice/Snow	Glacier	Spain	01.09.17	Yes	42.6805556	0.0375
252	PRJNA430179	SRR15146736	Ice/Snow	Glacier	Spain	01.09.17	Yes	42.6805556	0.0375
253	PRJNA430179	SRR15146737	Ice/Snow	Glacier	Spain	01.09.17	Yes	42.6805556	0.0375
254	PRJNA430179	SRR15146738	Ice/Snow	Glacier	Spain	01.09.17	Yes	42.6805556	0.0375
255	PRJNA430179	SRR15146739	Ice/Snow	Glacier	Spain	01.09.17	Yes	42.6805556	0.0375
256	PRJNA430179	SRR15146740	Ice/Snow	Glacier	Spain	01.09.17	Yes	42.6805556	0.0375
257	PRJNA430179	SRR15146741	Ice/Snow	Glacier	Spain	01.09.17	Yes	42.6805556	0.0375
258	PRJNA430179	SRR15667269	Ice/Snow	Glacier	Spain	01.09.17	Yes	42.6805556	0.0375
